date,item_code,item_name,category,unit,stock_on_hand,daily_demand,receipts,lead_time_days,safety_stock
2026-07-01,RM-001,Wheat Flour,Raw Material,kg,6141.37,158.63,0.0,7,12
2026-07-02,RM-001,Wheat Flour,Raw Material,kg,5969.31,172.06,0.0,7,12
2026-07-03,RM-001,Wheat Flour,Raw Material,kg,5761.49,207.82,0.0,7,12
2026-07-04,RM-001,Wheat Flour,Raw Material,kg,5577.3,184.19,0.0,7,12
2026-07-05,RM-001,Wheat Flour,Raw Material,kg,5377.42,199.88,0.0,7,12
2026-07-06,RM-001,Wheat Flour,Raw Material,kg,5184.96,192.47,0.0,7,12
2026-07-07,RM-001,Wheat Flour,Raw Material,kg,5018.71,166.25,0.0,7,12
2026-07-08,RM-001,Wheat Flour,Raw Material,kg,4827.0,191.71,0.0,7,12
2026-07-09,RM-001,Wheat Flour,Raw Material,kg,4653.84,173.16,0.0,7,12
2026-07-10,RM-001,Wheat Flour,Raw Material,kg,4480.8,173.04,0.0,7,12
2026-07-11,RM-001,Wheat Flour,Raw Material,kg,4298.7,182.1,0.0,7,12
2026-07-12,RM-001,Wheat Flour,Raw Material,kg,4151.66,147.04,0.0,7,12
2026-07-13,RM-001,Wheat Flour,Raw Material,kg,3945.91,205.75,0.0,7,12
2026-07-14,RM-001,Wheat Flour,Raw Material,kg,3780.41,165.5,0.0,7,12
2026-07-15,RM-001,Wheat Flour,Raw Material,kg,5378.8,201.61,1800.0,7,12
2026-07-16,RM-001,Wheat Flour,Raw Material,kg,5195.86,182.94,0.0,7,12
2026-07-17,RM-001,Wheat Flour,Raw Material,kg,4982.77,213.09,0.0,7,12
2026-07-18,RM-001,Wheat Flour,Raw Material,kg,4817.02,165.74,0.0,7,12
2026-07-19,RM-001,Wheat Flour,Raw Material,kg,4643.76,173.27,0.0,7,12
2026-07-20,RM-001,Wheat Flour,Raw Material,kg,4456.46,187.3,0.0,7,12
2026-07-21,RM-001,Wheat Flour,Raw Material,kg,4324.14,132.32,0.0,7,12
2026-07-22,RM-001,Wheat Flour,Raw Material,kg,4126.26,197.88,0.0,7,12
2026-07-23,RM-001,Wheat Flour,Raw Material,kg,3912.96,213.3,0.0,7,12
2026-07-24,RM-001,Wheat Flour,Raw Material,kg,3708.62,204.34,0.0,7,12
2026-07-25,RM-001,Wheat Flour,Raw Material,kg,3512.32,196.3,0.0,7,12
2026-07-26,RM-001,Wheat Flour,Raw Material,kg,3335.47,176.85,0.0,7,12
2026-07-27,RM-001,Wheat Flour,Raw Material,kg,3127.78,207.69,0.0,7,12
2026-07-28,RM-001,Wheat Flour,Raw Material,kg,2924.58,203.2,0.0,7,12
2026-07-29,RM-001,Wheat Flour,Raw Material,kg,2736.1,188.48,0.0,7,12
2026-07-30,RM-001,Wheat Flour,Raw Material,kg,2555.99,180.11,0.0,7,12
2026-07-01,RM-002,Vegetable Oil,Raw Material,litre,3245.21,114.79,0.0,10,10
2026-07-02,RM-002,Vegetable Oil,Raw Material,litre,3142.92,102.28,0.0,10,10
2026-07-03,RM-002,Vegetable Oil,Raw Material,litre,3005.27,137.66,0.0,10,10
2026-07-04,RM-002,Vegetable Oil,Raw Material,litre,2916.54,88.72,0.0,10,10
2026-07-05,RM-002,Vegetable Oil,Raw Material,litre,2801.87,114.67,0.0,10,10
2026-07-06,RM-002,Vegetable Oil,Raw Material,litre,2679.51,122.37,0.0,10,10
